"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 18, 2020","462.25","457.74","463.99","456.10","26.41M","0.83%"
"Aug 17, 2020","458.43","464.02","464.02","455.90","430.64K","-0.26%"
"Aug 14, 2020","459.63","459.32","460.00","452.18","41.39M","-0.09%"
"Aug 13, 2020","460.04","458.00","464.12","455.71","52.52M","1.77%"
"Aug 12, 2020","452.04","441.91","453.09","441.27","41.49M","3.32%"
"Aug 11, 2020","437.50","448.70","449.83","436.51","46.98M","-2.97%"
"Aug 10, 2020","450.91","450.00","454.98","440.28","53.10M","1.45%"
"Aug 07, 2020","444.45","452.82","454.70","441.17","49.51M","-2.45%"
"Aug 06, 2020","455.61","441.53","457.64","440.56","50.61M","3.49%"
"Aug 05, 2020","440.25","437.72","441.52","435.64","30.50M","0.36%"
"Aug 04, 2020","438.66","436.53","443.16","433.55","43.20M","0.67%"
"Aug 03, 2020","435.75","432.80","446.55","431.57","77.04M","2.52%"
"Jul 31, 2020","425.04","411.54","425.66","403.30","93.57M","10.47%"
"Jul 30, 2020","384.76","376.75","385.19","375.07","39.53M","1.21%"
"Jul 29, 2020","380.16","375.00","380.92","374.85","22.58M","1.92%"
"Jul 28, 2020","373.01","377.47","378.20","372.99","25.91M","-1.64%"
"Jul 27, 2020","379.24","374.84","379.62","373.92","30.30M","2.37%"
"Jul 24, 2020","370.46","363.95","371.88","356.58","46.36M","-0.25%"
"Jul 23, 2020","371.38","387.99","388.31","368.04","49.25M","-4.55%"
"Jul 22, 2020","389.09","386.77","391.90","386.41","22.25M","0.28%"
"Jul 21, 2020","388.00","396.69","397.00","386.97","25.91M","-1.38%"
"Jul 20, 2020","393.43","385.67","394.00","384.25","22.58M","2.11%"
"Jul 17, 2020","385.31","387.95","388.59","383.36","23.05M","-0.20%"
"Jul 16, 2020","386.09","386.25","389.62","383.62","27.64M","-1.23%"
"Jul 15, 2020","390.90","395.96","396.99","385.96","38.30M","0.69%"
"Jul 14, 2020","388.23","379.36","389.02","375.51","42.75M","1.65%"
"Jul 13, 2020","381.91","389.06","399.82","381.03","47.91M","-0.46%"
"Jul 10, 2020","383.68","381.34","383.92","378.82","22.56M","0.25%"
"Jul 09, 2020","382.73","385.05","385.27","378.69","31.41M","0.36%"
"Jul 08, 2020","381.37","376.72","381.50","376.36","29.27M","2.33%"
"Jul 07, 2020","372.69","375.41","378.62","372.23","28.11M","-0.31%"
"Jul 06, 2020","373.85","370.00","375.78","369.87","29.66M","2.68%"
"Jul 02, 2020","364.11","367.85","370.47","363.64","28.51M","0.00%"
"Jul 01, 2020","364.11","365.12","367.36","363.91","27.68M","-0.19%"
"Jun 30, 2020","364.80","360.08","365.98","360.00","35.06M","0.83%"
"Jun 29, 2020","361.78","353.25","362.17","351.28","32.66M","2.30%"
"Jun 26, 2020","353.63","364.41","365.32","353.02","51.31M","-3.07%"
"Jun 25, 2020","364.84","360.70","365.00","357.57","34.38M","1.33%"
"Jun 24, 2020","360.06","365.00","368.79","358.52","48.16M","-1.77%"
"Jun 23, 2020","366.53","364.00","372.38","362.27","53.04M","2.13%"
"Jun 22, 2020","358.87","351.34","359.46","351.15","33.86M","2.62%"
"Jun 19, 2020","349.72","354.64","356.56","345.15","66.12M","-0.57%"
"Jun 18, 2020","351.73","351.41","353.45","349.22","24.21M","0.04%"
"Jun 17, 2020","351.59","355.15","355.40","351.09","28.60M","-0.14%"
"Jun 16, 2020","352.08","351.46","353.20","344.72","41.36M","2.65%"
"Jun 15, 2020","342.99","333.25","345.68","332.58","34.70M","1.24%"
"Jun 12, 2020","338.80","344.72","347.80","334.22","50.04M","0.86%"
"Jun 11, 2020","335.90","349.31","351.06","335.48","50.42M","-4.80%"
"Jun 10, 2020","352.84","347.90","354.77","346.09","41.66M","2.57%"
"Jun 09, 2020","343.99","332.14","345.61","332.01","36.93M","3.16%"
"Jun 08, 2020","333.46","330.25","333.60","327.32","23.91M","0.59%"
"Jun 05, 2020","331.50","323.35","331.75","323.23","34.31M","2.85%"
"Jun 04, 2020","322.32","324.39","325.62","320.78","21.89M","-0.86%"
"Jun 03, 2020","325.12","324.66","326.20","322.30","26.12M","0.55%"
"Jun 02, 2020","323.34","320.74","323.44","318.93","21.91M","0.46%"
"Jun 01, 2020","321.85","317.75","322.35","317.21","20.25M","1.23%"
